date,filename,stim_params,abr_z_score,abr_latency,lfp_z_score_100,lfp_latency_100,lfp_ampliture_100,lfp_z_score_200,lfp_latency_200,lfp_ampliture_200,lfp_z_score_300,lfp_latency_300,lfp_ampliture_300,lfp_z_score_400,lfp_latency_400,lfp_ampliture_400,lfp_z_score_500,lfp_latency_500,lfp_ampliture_500,lfp_z_score_600,lfp_latency_600,lfp_ampliture_600,lfp_z_score_700,lfp_latency_700,lfp_ampliture_700,lfp_z_score_800,lfp_latency_800,lfp_ampliture_800
20220819,10_after_overdose,150V_d_0.5ms_f_500.0kHz_w_0%,1.779562881,3.96,2.513421322,16,-0.57472793,-0.001043222,13,0.198898612,2.915411059,93,-0.520698755,2.707238967,57,-0.811031356,4.558358818,28,-1.123925591,3.249327674,32,-1.10730123,2.76791719,2,-1.175579858,3.846906534,10,-1.249795758
20220819,05_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_0%,6.992891617,3.24,23.91763176,27,-389.2071794,33.25780367,27,-533.6408207,38.59800503,27,-661.0956452,39.40042697,27,-675.35816,38.15963792,26,-640.2599765,33.47497352,26,-584.3564045,26.85537666,25,-433.8281535,22.26811864,25,-331.4838335
20220819,05_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_10%,5.691207296,2.04,24.83752178,29,-278.2882512,33.87715143,29,-383.9823801,38.36454086,29,-479.7612647,40.76113688,29,-497.1723148,39.67533498,29,-467.1053757,33.99813876,28,-423.0549734,27.79086806,27,-315.6158804,23.07716933,26,-238.5904631
20220819,05_us_cont_500us,150V_d_0.5ms_f_500.0kHz_w_25%,4.487315813,1.28,30.69529562,28,-344.634891,44.76521274,28,-501.4792119,53.16926512,28,-634.2401764,55.98366372,28,-674.9639251,53.64130297,28,-650.8033842,47.60947431,28,-609.068518,38.02859927,27,-457.4988695,30.97227296,26,-348.4092148
20220819,06_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_0%,10.34370311,1.88,13.00433865,27,-284.432734,19.05972361,27,-452.5234356,24.10274561,27,-610.8022014,28.05403121,27,-694.2594654,29.27504992,26,-710.847016,28.20237067,26,-705.5307826,24.77078734,26,-563.8288802,20.06672834,25,-424.734034
20220819,10_after_overdose,150V_d_1.0ms_f_500.0kHz_w_0%,8.344626545,1.44,4.747757893,2,-0.986774608,2.256238481,3,-0.612132744,4.050306231,2,-0.766501816,4.145496214,2,-1.02655433,1.77061562,2,-0.777188906,4.46426858,2,-1.320449295,7.214798213,2,-1.831648415,4.042488301,2,-1.153611951
20220819,06_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_10%,2.898209733,2.36,19.58032389,25,-334.1134513,26.36325957,25,-463.2983968,30.94179542,26,-554.797102,34.07888262,26,-577.2037729,33.1683393,25,-549.8685725,29.22858682,25,-499.5436613,24.10502437,25,-376.8107492,20.56838619,24,-284.9688697
20220819,02_us_cont_test,150V_d_1.0ms_f_500.0kHz_w_25%,5.046330252,3.56,91.11075321,46,-783.424229,89.55579745,46,-892.8249968,91.30190118,46,-978.3959296,93.63869826,46,-944.7120043,96.17866674,45,-851.1400037,98.15848951,45,-745.9339186,99.93009056,44,-538.502259,98.64670461,43,-415.7390669
20220819,06_us_cont_1ms,150V_d_1.0ms_f_500.0kHz_w_25%,1.576706649,1.24,10.905417,27,-217.9257879,15.7758613,27,-308.1663852,21.47302542,28,-421.8586131,25.27874237,27,-470.4682465,25.70027048,27,-463.3844873,24.26478454,27,-432.7944744,20.67852377,26,-336.4479866,17.70164362,25,-254.4400108
20220819,08_us_cont_10ms,150V_d_10.0ms_f_500.0kHz_w_0%,7.429059323,2.48,77.94843207,31,-258.33308,81.66353819,32,-400.7712041,82.41775026,32,-523.7623875,91.41424662,32,-588.0274197,95.66310953,31,-609.9424845,94.81992598,31,-606.8669776,92.86349719,31,-475.0945689,88.58771481,28,-364.2884488
20220819,08_us_cont_10ms,150V_d_10.0ms_f_500.0kHz_w_10%,2.08892722,1.36,127.5439772,31,-243.5350233,157.9669059,33,-386.6612772,171.883142,34,-516.1994904,165.0427848,34,-589.7355729,162.6367122,33,-598.8706596,155.8119208,32,-594.1719025,152.1016743,31,-462.460054,127.9777362,31,-348.7874191
20220819,02_us_cont_test,150V_d_10.0ms_f_500.0kHz_w_25%,4.08178902,1.92,286.9097476,45,-904.3623037,285.1911483,46,-1062.924871,295.0360757,45,-1200.495026,271.9793316,45,-1181.395416,278.5665486,45,-1067.950178,246.6301628,45,-939.2574325,222.9930872,43,-669.1168997,213.743398,42,-508.6538114
20220819,08_us_cont_10ms,150V_d_10.0ms_f_500.0kHz_w_25%,4.886523746,1.64,234.2573441,33,-252.4587431,179.2282233,34,-385.1716157,209.5687074,35,-494.8336234,245.2957251,34,-565.2443259,249.6579061,34,-582.089554,296.5513061,33,-580.0287269,334.8581534,32,-453.5292095,371.973388,31,-343.6267422
20220819,09_us_cont_20ms,150V_d_20.0ms_f_500.0kHz_w_0%,4.83880488,2.84,196.7291285,26,-110.9313965,224.6687575,31,-199.3735941,227.7229537,32,-308.6122743,293.8184288,35,-386.45941,279.7338457,36,-432.6163563,316.3733604,36,-467.615981,390.0454611,35,-394.6718446,527.9936322,35,-333.7002172
20220819,09_us_cont_20ms,150V_d_20.0ms_f_500.0kHz_w_10%,4.223484961,2.76,248.8310538,36,-110.6268144,174.7910043,39,-188.7060974,248.4955986,41,-294.9541738,211.8750027,41,-381.7855894,223.1899887,40,-409.3588744,257.4848447,40,-418.2540953,379.7783048,38,-331.1792515,470.2032699,38,-242.5577483
